situation,thought,reframe,thinking_traps_addressed,distortion_id
"I have anxiety, depression, disordered eating, and when I asked if I have ptsd my therapist said I have (whatever). The longest job I had was five months, and majority of my jobs have been part time seasonal work. about as long as worked anywhere else too. I get bored, and my mental illnesses make it hard too.",I’ll never be able to hold a job.,"My mental illnesses make some things harder for me, but I will be able to find a job that is a good fit for me.",catastrophizing,10
My girlfriend is getting a new job in a distant city.,This is going to cause us to break up.,My girlfriend cares about me and we will figure this out together,catastrophizing,10
"Last week, my co-worker was invited to participate in a workshop and I was not.",My co-worker is better than me.,"There are many reasons why I was not invited to participate in a workshop, one of which may be that my company does not feel I need training on this topic.","comparing and despairing,personalizing",11
"My sister looking amazing and me looking heinous, people at school being toxic",I hate myself and im a fat pig,It's okay to feel jealous of my sister. But I can also learn to see the beauty in myself.,comparing and despairing,11
I am under appreciated at work,Self worth,I may not always get a raise or promotion every year but it does not mean I’m worthless and under appreciated It May be because of external reasons outside the company’s control,comparing and despairing,11
My daughter spilled a drink on my desk.,She ruined my project,"I should have been watching my daughter more closely if I knew she had her drink close to my desk and I knew I had an important project there. I should not be upset with her, mistakes happen and I know better for next time.",blaming,12
I was reprimanded at work for standing up to a coworker who was bullying another co-worker.,It was unfair that I was the one to get in trouble for defending a weaker person.,I can own some responsibility for this conflict that occurred at work.,blaming,12
"Time is running short on the workday, my boss asks me if I can finish a task that will require me to stay for a few extra hours.",Why would you wait until the last minute to ask me this.,This task is a particularly challenging one - neither of us estimated it would take this long to finish it.,blaming,12
Fired for not meeting quota as a salesman.,I can't pay my bills.,I'm feeling anxious about losing that job. I will have to be careful with my spending and work efficiently to find a new way to ensure that I can pay my bills.,negative feeling or emotion,13
I mixed up the addresses on two packages and sent them to the wrong place,I screwed up again at work,"I made a mistake, and it happens to everyone. I should not be too hard on myself.","negative feeling or emotion,overgeneralizing",13
Everyone is mean to me,I hate everyone,"When people are mean to me, it makes me feel angry. I can focus on what I can control about the situation and let go of what I can't control.",negative feeling or emotion,13
